ID	Label	Exact Match	Synonyms	Suggested parent term	Abbreviation	Definition	Textual Definition	Definition Source	See Also	Editor	Reviewer1	Reviewer2	Type	Parent	Close Match	Exact Match	Narrow Match	Related Match
pbpko:PBPKO_00231	Clearance	http://purl.bioontology.org/ontology/LNC/LP267658-5|http://purl.bioontology.org/ontology/SNOMEDCT/260695007|http://www.bioassayontology.org/bao#BAO_0013019|http://sbmi.uth.tmc.edu/ontology/ochv#C0449297|http://scai.fraunhofer.de/HuPSON#SCAIVPH_00001299		Excretion	Cl	Clearance  defined as the volume of fluid cleared of xenoboitic from the body per unit of time. 	Volume of fluid cleared of xenoboitic from body per unit  time. 	"Shargel, Leon, et al. Applied Biopharmaceutics & Pharmacokinetics. 7th ed., McGraw-Hill Education, 2015."		0000-0001-8345-1349	0000-0002-9795-5967		Class	Excretion				
pbpko:PBPKO_00232	Fecal clearance	http://purl.bioontology.org/ontology/LNC/LP71059-7		Excretion		Fecal Clearance  defined as the fecal cleared volume of  xenoboitic from the body per unit of time. 	 Fecal cleared volume of  xenoboitic from body per unit  time. 	"Shargel, Leon, et al. Applied Biopharmaceutics & Pharmacokinetics. 7th ed., McGraw-Hill Education, 2015."		0000-0001-8345-1349	0000-0002-9795-5967		Class	Clearance				
pbpko:PBPKO_00233	sweat clearance			Excretion		Sweat Clearance  defined as the sweat cleared volume xenoboitic from the body per unit of time. 	 Sweat cleared volume of  xenoboitic from body per unit  time. 	"Shargel, Leon, et al. Applied Biopharmaceutics & Pharmacokinetics. 7th ed., McGraw-Hill Education, 2015.Chapter 7, Page Number-152"		0000-0001-8345-1349	0000-0002-9795-5967		Class	Clearance				
pbpko:PBPKO_00234	urinary clearance			Excretion		Urinary clearance  defined as the urine cleared volume xenoboitic from the body per unit of time. 	 Urine cleared volume of  xenoboitic from body per unit time. 	"Shargel, Leon, et al. Applied Biopharmaceutics & Pharmacokinetics. 7th ed., McGraw-Hill Education, 2015.Chapter 7, Page Number-153"		0000-0001-8345-1349	0000-0002-9795-5967		Class	Clearance				
pbpko:PBPKO_00235	biliary clearance			Excretion		Biliary clearance  defined as the bile cleared volume xenoboitic from the body per unit of time. 	 Bile cleared volume of  xenoboitic from body per unit time. 	"Shargel, Leon, et al. Applied Biopharmaceutics & Pharmacokinetics. 7th ed., McGraw-Hill Education, 2015.Chapter 7, Page Number-154"		0000-0001-8345-1349	0000-0002-9795-5967		Class	Clearance				
pbpko:PBPKO_00236	Hepatic clearance			Excretion		Hepatic Clearance  defined as the Liver cleared volume xenoboitic from the body per unit of time. 	 Liver cleared volume of  xenoboitic from body per unit time. 	"Shargel, Leon, et al. Applied Biopharmaceutics & Pharmacokinetics. 7th ed., McGraw-Hill Education, 2015.Chapter 7, Page Number-155"		0000-0001-8345-1349	0000-0002-9795-5967		Class	Clearance				
pbpko:PBPKO_00237	intrinsic clearance			Excretion	Clint	"Intrinsic clearance in PBPK refers to the rate at which a compound is metabolized or eliminated by a specific organ or tissue, independent of the concentration of the compound in the blood"	"the rate at which a compound is metabolized or eliminated by a specific organ or tissue, independent of the concentration of the compound in the blood"	"Shargel, Leon, et al. Applied Biopharmaceutics & Pharmacokinetics. 7th ed., McGraw-Hill Education, 2015.Chapter 7, Page Number-354"		0000-0001-8345-1349	0000-0002-9795-5967		Class	Clearance				
pbpko:PBPKO_00238	fecal elimination rate constant					the rate at which a compound is eliminated from the body through fecal excretion	the rate at which a compound is eliminated from the body through fecal excretion			0000-0001-8345-1349	0000-0002-9795-5967		Class	Biochemical Parameters				http://purl.bioontology.org/ontology/npo#NPO_1526
pbpko:PBPKO_00239	Renal elimination rate constant					the rate at which a compound is eliminated from the body through urine excretion	the rate at which a compound is eliminated from the body through urine excretion			0000-0001-8345-1349	0000-0002-9795-5967		Class	Biochemical Parameters				http://purl.bioontology.org/ontology/npo#NPO_1526
pbpko:PBPKO_00240	Biliary elimination		biliary excretion			Irreversible transfer of Xenoboitic or Xenoboitic metabolites from the plasma to the bile through the hepatocytes	Irreversible transfer of Xenoboitic or Xenoboitic metabolites from plasma to the bile through hepatocytes	https://sepia2.unil.ch/pharmacology/mechanisms/biliary-excretion/		0000-0001-8345-1349	0000-0002-9795-5967		Class	elimination				
pbpko:PBPKO_00241	Route of exposure		Exposure Route of Administration			Designation of the part of the body through which the exposure is introduced.	Designated body part through which exposure is introduced	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C83121		0000-0001-8345-1349	0000-0002-9795-5967		Class	Parameters				
pbpko:PBPKO_00242	oral					administration to or by way of the mouth	administration to or by way of mouth	http://radlex.org/RID/RID11173		0000-0001-8345-1349	0000-0002-9795-5967		Class	Route of exposure				
pbpko:PBPKO_00243	dermal					exposure through the skin	exposure through the skin	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25478		0000-0001-8345-1349	0000-0002-9795-5967		Class	Route of exposure				
pbpko:PBPKO_00244	Inhalation		"Inhaled, Inhale"			exposure through breath	exposure through breath	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C95464		0000-0001-8345-1349	0000-0002-9795-5967		Class	Route of exposure				
pbpko:PBPKO_00245	intravenous bolus				IVB	"Type of IV therapy where a single dose of medication/chemical/ nutrients is administered over a short period of time, typically less than 30 minutes"	"Type of IV therapy where a single dose of medication/chemical/ nutrients is administered over a short period of time, typically less than 30 minutes"	IV Bolus vs. IV Push | Mobile IV Nurses		0000-0001-8345-1349	0000-0002-9795-5967		Class	Route of exposure				
pbpko:PBPKO_00246	intravenous infusion				IVI	"The administration of fluids, medication, nutrition, or blood directly into the bloodstream through a vein"	"The administration of fluids, medication, nutrition, or blood directly into the bloodstream through a vein"	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C38275		0000-0001-8345-1349	0000-0002-9795-5967		Class	Route of exposure				
pbpko:PBPKO_00247	intramuscular					Administration within a muscle	Administration within a muscle	http://radlex.org/RID/RID11139		0000-0001-8345-1349	0000-0002-9795-5967		Class	Route of exposure				
pbpko:PBPKO_00248	intraarterial					The administration of a substance directly into an artery	Administration within an artery or arteries	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C38222		0000-0001-8345-1349	0000-0002-9795-5967		Class	Route of exposure				
pbpko:PBPKO_00249	intrathecal					"Inside the spinal canal (the canal in successive vertebrae through which the spinal cord passes-Wordnet definition) . For example, intrathecal immunoglobulin production means production of this substance in the spinal cord; intrathecal injection is an injection into the the spinal canal (intrathecal space surrounding the spinal cord), as in a spinal anaesthesia or in chemotherapy or pain management applications."	Administration inside spinal canal	http://uri.neuinfo.org/nif/nifstd/nlx_inv_090911		0000-0001-8345-1349	0000-0002-9795-5967		Class	Route of exposure				
pbpko:PBPKO_00250	subcutaneous		Subcutaneous (intended site)			An intended site for xenobiotics that is for administration into the subcutaneous tissue	site for administration of xenobiotics into subcutaneous tissue	http://purl.bioontology.org/ontology/SNOMEDCT/764295003		0000-0001-8345-1349	0000-0002-9795-5967		Class	Route of exposure				
pbpko:PBPKO_00251	nasal					administration to the nose; administered by way of the nose.	Administration to the nose or via way of nose	http://radlex.org/RID/RID11169		0000-0001-8345-1349	0000-0002-9795-5967		Class	Route of exposure				
pbpko:PBPKO_00252	transdermal					Administration through the dermal layer of the skin to the systemic circulation by diffusion	Administration through skin dermal layer to systemic circulation by diffusion	http://radlex.org/RID/RID11193		0000-0001-8345-1349	0000-0002-9795-5967		Class	Route of exposure				
pbpko:PBPKO_00253	ocular					An intended site for xenobiotics that is for administration to the eye or eye structures	Site for xenobiotics administration to eye or eye structures	http://purl.bioontology.org/ontology/SNOMEDCT/738952007		0000-0001-8345-1349	0000-0002-9795-5967		Class	Route of exposure				
pbpko:PBPKO_00254	Output parameters					Refers to result or predictions generated by the model in PBPK	Refers to result or predictions generated by the model in PBPK			0000-0001-8345-1349	0000-0002-9795-5967		Class	Parameters				
pbpko:PBPKO_00255	Peak Concentration		Cumulative concentration		Cmax	"The highest concentration of a drug/chemical in the blood, cerebrospinal fluid, or target organ after exposure"	"The highest concentration of a drug/chemical in the blood, cerebrospinal fluid, or target organ after exposure"	"Shargel, Leon, et al. Applied Biopharmaceutics & Pharmacokinetics. 7th ed., McGraw-Hill Education, 2015."		0000-0001-8345-1349	0000-0002-9795-5967		Class	Output parameters				
pbpko:PBPKO_00256	Cmaxss					Maximum steady state concentration	Maximum steady state concentration			0000-0001-8345-1349	0000-0002-9795-5967		Class	Output parameters				
pbpko:PBPKO_00257	Tmax		Peak plasma xenoboitic level		Tmax	The time required to reach maximum xenoboitic concentration after xenoboitic administration	The time required to reach maximum xenoboitic concentration after xenoboitic administration	"Shargel, Leon, et al. Applied Biopharmaceutics & Pharmacokinetics. 7th ed., McGraw-Hill Education, 2015."		0000-0001-8345-1349	0000-0002-9795-5967		Class	Output parameters				
pbpko:PBPKO_00258	Area under curve		Total exposure		AUC	It is the definite integral of the concentration of a drug/chemical in blood or plasma as a function of time	It is the definite integral of the concentration of a drug/chemical in blood or plasma as a function of time	"Shargel, Leon, et al. Applied Biopharmaceutics & Pharmacokinetics. 7th ed., McGraw-Hill Education, 2015, Chaper-2,page number-37."		0000-0001-8345-1349	0000-0002-9795-5967		Class	Output parameters				
pbpko:PBPKO_00259	AUC0-t		observed AUC			the area under the concentration-time curve from dosing (time 0) to the last quantifiable time point (t)	the area under the concentration-time curve from dosing (time 0) to the last quantifiable time point (t)	"Shargel, Leon, et al. Applied Biopharmaceutics & Pharmacokinetics. 7th ed., McGraw-Hill Education, 2015, Chaper-7, page number-154."		0000-0001-8345-1349	0000-0002-9795-5967		Class	Area under curve				
pbpko:PBPKO_00260	AUClast					the area under the concentration-time curve from dosing (time 0) to the time of the last measured concentration of a drug.	the area under the concentration-time curve from dosing (time 0) to the time of the last measured concentration of a drug.	https://pubmed.ncbi.nlm.nih.gov/22673011/		0000-0001-8345-1349	0000-0002-9795-5967		Class	Area under curve				
pbpko:PBPKO_00261	AUC0-infinity					"the area under the concentration-time curve from dosing (time 0) to infinity, which means the total drug/chemical exposure across time"	"the area under the concentration-time curve from dosing (time 0) to infinity, which means the total drug/chemical exposure across time"	"Shargel, Leon, et al. Applied Biopharmaceutics & Pharmacokinetics. 7th ed., McGraw-Hill Education, 2015, Chaper-4, page number-79."		0000-0001-8345-1349	0000-0002-9795-5967		Class	Area under curve				
pbpko:PBPKO_00262	Area under moment curve		First movement area		AUMC	AUMC is a pharmacokinetic parameter that is calculated by measuring the concentration of a drug/chemical in blood plasma as a function of time and then taking the definite integral of the product of time and concentration squared	AUMC is a pharmacokinetic parameter that is calculated by measuring the concentration of a drug/chemical in blood plasma as a function of time and then taking the definite integral of the product of time and concentration squared	10.1111/bcp.12685		0000-0001-8345-1349	0000-0002-9795-5967		Class	Output parameters				
pbpko:PBPKO_00263	Mean residence time				MRT	Average time a drug/chemical molecule resides in the body	Average time a drug/chemical molecule resides in the body	Mean Residence Time (MRT): Understanding How Long Drug Molecules Stay in the Body | Certara		0000-0001-8345-1349	0000-0002-9795-5967		Class	Output parameters				
pbpko:PBPKO_00264	half-life		Half Life		t1/2	the time it takes for the concentration of a drug/chemical in the body to decrease by half	the time it takes for the concentration of a drug/chemical in the body to decrease by half	What is a Half-life? | Certara		0000-0001-8345-1349	0000-0002-9795-5967		Class	Output parameters				
pbpko:PBPKO_00265	bioavailavility		Absorption fraction		F	" Bioavailability is defined as the rate and extent to which the active ingredient or active moiety is absorbed from a Xenoboitic product and becomes available at the site of action (US-FDA, CDER, 2014a)."	" Bioavailability is defined as the rate and extent to which the active ingredient or active moiety is absorbed from a Xenoboitic product and becomes available at the site of action (US-FDA, CDER, 2014a)."	"Shargel, Leon, et al. Applied Biopharmaceutics & Pharmacokinetics. 7th ed., McGraw-Hill Education, 2015.
Chapter 16, Page Number-471 "		0000-0001-8345-1349	0000-0002-9795-5967		Class	Output parameters				
pbpko:PBPKO_00266	Relative bioavailability		Comparative/formulation bioavailability		F rel	"Relative bioavailability is a term used to describe the extent and rate at which a drug/chemical is absorbed into the systemic circulation after administration compared to a reference formulation/source chemical,"	"Relative bioavailability is a term used to describe the extent and rate at which a drug/chemical is absorbed into the systemic circulation after administration compared to a reference formulation/source chemical,"	"Shargel, Leon, et al. Applied Biopharmaceutics & Pharmacokinetics. 7th ed., McGraw-Hill Education, 2015.
Chapter 16, Page Number-473"		0000-0001-8345-1349	0000-0002-9795-5967		Class	bioavailavility				
pbpko:PBPKO_00267	Mean absorption time				MAT	Average time it takes for drug/chemical to be absorbed into systemic circulation	Average time it takes for drug/chemical to be absorbed into systemic circulation	"Shargel, Leon, et al. Applied Biopharmaceutics & Pharmacokinetics. 7th ed., McGraw-Hill Education, 2015.Chapter-25,Page number-837"		0000-0001-8345-1349	0000-0002-9795-5967		Class	Output parameters				
pbpko:PBPKO_00268	Mean dissolution time				MDT	Average time it takes for drug/chemical to dissolve in body	Average time it takes for drug/chemical to dissolve in body	"Shargel, Leon, et al. Applied Biopharmaceutics & Pharmacokinetics. 7th ed., McGraw-Hill Education, 2015.
Chapter-25,Page number-837"		0000-0001-8345-1349	0000-0002-9795-5967		Class	Output parameters				
pbpko:PBPKO_00269	Bioequivalence				BE	 Bioequivalence is defined as the absence of a significant difference in the rate and extent to which the chemical ingredient or moiety becomes available at the site of action when administered at the same molar dose under similar conditions.	Identical comparison between test (T) and reference (R) xenoboitic product	"Shargel, Leon, et al. Applied Biopharmaceutics & Pharmacokinetics. 7th ed., McGraw-Hill Education, 2015.Chapter 16, Page Number-471 "		0000-0001-8345-1349	0000-0002-9795-5967		Class	Output parameters				
pbpko:PBPKO_00270	absolute bioavailability		FABS	Bioavailability	FABS	Fraction of treatment dose that reaches systemic circulation and ratio of xenobiotics amount in system after administration of a test xenobiotics to xenobiotics in system after IV administration	Fraction of treatment dose that reaches systemic circulation and ratio of xenobiotics amount in system after administration of a test xenobiotics to xenobiotics in system after IV administration	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C154838		0000-0001-8345-1349	0000-0002-9795-5967		Class	bioavailavility				
pbpko:PBPKO_00271	elimination phase					The elimination phase is a phase in PBPK that describes the process of removing an administered drug/chemical from the body	The elimination phase is a phase in PBPK that describes the process of removing an administered drug/chemical from the body	Distribution and Elimination Phase   Pharmacokinetics (unil.ch)		0000-0001-8345-1349	0000-0002-9795-5967		Class	Output parameters				
pbpko:PBPKO_00272	absorption phase					Phase describing how drug/chemical goes in systemic circulation from site of administration	Phase describing how drug/chemical goes in systemic circulation from site of administration	Drug Absorption - Clinical Pharmacology - Merck Manuals Professional Edition		0000-0001-8345-1349	0000-0002-9795-5967		Class	Output parameters				
pbpko:PBPKO_00273	CL/F					describes the rate at which a drug/chemical is eliminated from the body after oral administration	describes the rate at which a drug/chemical is eliminated from the body after oral administration	tcp.2015.23.2.42 (tcpharm.org)		0000-0001-8345-1349	0000-0002-9795-5967		Class	Output parameters				
pbpko:PBPKO_00274	Aurine					Amount of substance present in urine	Amount of substance present in urine			0000-0001-8345-1349	0000-0002-9795-5967		Class	Output parameters				
pbpko:PBPKO_00275	Afeces					Amount of substance present in feces	Amount of substance present in feces			0000-0001-8345-1349	0000-0002-9795-5967		Class	Output parameters				
pbpko:PBPKO_00276	Cumulative amount in urine					total amount of drug/chemical or metabolite excreted in urine over specific period of time	total amount of drug/chemical or metabolite excreted in urine over specific period of time	"Chapter 19. Cumulative Urinary Excretion | Handbook of Basic Pharmacokinetics  Including Clinical Applications, 7th Edition | PharmacyLibrary"		0000-0001-8345-1349	0000-0002-9795-5967		Class	Output parameters				
pbpko:PBPKO_00277	Cumulative amount in feces					total amount of drug/chemical or metabolite excreted in feces over specific period of time	total amount of drug/chemical or metabolite excreted in feces over specific period of time			0000-0001-8345-1349	0000-0002-9795-5967		Class	Output parameters				
pbpko:PBPKO_00278	Creatinine					"The breakdown product of creatine, a constituent of muscle tissue, that is excreted by the kidney and whose serum level is used to evaluate kidney function."	breakdown product of creatine which excreted in urine	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C399		0000-0001-8345-1349	0000-0002-9795-5967		Class	Output parameters				
pbpko:PBPKO_00279	AUCss					Steady state area under curve	Steady state area under curve			0000-0001-8345-1349	0000-0002-9795-5967		Class	Area under curve				
pbpko:PBPKO_00280	Plasma concentration						"Xenobiotic concentration in plasma, derived from full blood"			0000-0001-8345-1349	0000-0002-9795-5967		Class	Output parameters				
pbpko:PBPKO_00281	Min Organ Concentration					Minimum organ concentration	Minimum organ concentration			0000-0001-8345-1349	0000-0002-9795-5967		Class	Output parameters				
pbpko:PBPKO_00282	Max organ concentration					Maximum organ concentration	Maximum organ concentration			0000-0001-8345-1349	0000-0002-9795-5967		Class	Output parameters				
pbpko:PBPKO_00283	Median Organ concentration					Medium organ concentration	Medium organ concentration			0000-0001-8345-1349	0000-0002-9795-5967		Class	Output parameters				
pbpko:PBPKO_00284	Percentile 2.5 plasma concentration					Percentile 2.5 plasma concentration	Percentile 2.5 plasma concentration			0000-0001-8345-1349	0000-0002-9795-5967		Class	Plasma concentration				
pbpko:PBPKO_00285	percentile 97.5 plasma concentration					percetile 97.5 plasma concentration	percetile 97.5 plasma concentration			0000-0001-8345-1349	0000-0002-9795-5967		Class	Plasma concentration				
pbpko:PBPKO_00286	Tolerable daily intake					"estimate of the amount of a substance in air, food or drinking water that can be taken in daily over a lifetime without appreciable health risk"	"estimate of the amount of a substance in air, food or drinking water that can be taken in daily over a lifetime without appreciable health risk"	Tolerable daily intake - Wikipedia		0000-0001-8345-1349	0000-0002-9795-5967		Class	Output parameters				
pbpko:PBPKO_00287	Reconstructed exposure					Method used to estimate the eamount of a substance a person has been exposed by using internal body measurements	Method used to estimate the eamount of a substance a person has been exposed by using internal body measurements			0000-0001-8345-1349	0000-0002-9795-5967		Class	Output parameters				
pbpko:PBPKO_00288	Estimated daily intake					measure used to estimate the amount of a substance that a person consumes daily through food or other sources	measure used to estimate the amount of a substance that a person consumes daily through food or other sources	Guidance for Industry: Estimating Dietary Intake of Substances in Food | FDA		0000-0001-8345-1349	0000-0002-9795-5967		Class	Output parameters				
pbpko:PBPKO_00289	Biomonitoring equivalent				BE	"The concentration of a chemical (or metabolite) in a biological medium (blood, urine, human milk, etc.) consistent with defined exposure guidance values or toxicity criteria including reference doses and reference concentrations (RfD and RfCs), minimal risk levels (MRLs), or tolerable daily intakes (TDIs)"	"chemical concentration (or metabolite) in biological medium (eg. blood, urine, human milk) consistent with defined exposure guidance values or toxicity criteria including reference doses and reference concentrations, minimal risk levels or tolerable daily intakes"	"Hays S. M., et al. Guidelines for the derivation of biomonitoring equivalents: Report from the biomonitoring equivalents expert workshop. Regulatory Toxicology and Pharmacology V51(3), 2008, Pages S4-S15. https://doi.org/10.1016/j.yrtph.2008.05.004"		0000-0001-8345-1349	0000-0002-9795-5967		Class	Output parameters				
pbpko:PBPKO_00290	HBM-HBGV					Human Biomonitoring Health-Based Guidance Value. It is a measure used to establish safe levels of a substance in blood or urine based on human biomonitoring data	Human Biomonitoring Health-Based Guidance Value. It is a measure used to establish safe levels of a substance in blood or urine based on human biomonitoring data	10.1016/j.envint.2020.105978		0000-0001-8345-1349	0000-0002-9795-5967		Class	Output parameters				
pbpko:PBPKO_00291	Reference dose				RfD	Estimate (with uncertainty spanning perhaps an order of magnitude) of a daily oral or dermal exposure to the human population (including sensitive subgroups) that is likely to be without an appreciable risk of deleterious effects during a lifetime. Its unit is usually mg/kg bw/day or mg/kg.	Daily oral or dermal exposure estimation to human population (including sensitive subgroups)	https://www.chemsafetypro.com/Topics/CRA/What_is_Point_of_Departure_(POD)_in_Toxicology_and_How_to_Use_It_to_Calculate_Reference_Dose_RfD.html		0000-0001-8345-1349	0000-0002-9795-5967		Class	Output parameters				
pbpko:PBPKO_00292	Acceptable daily intake		acceptable daily intake		ADI	"An estimate of the amount of a substance in food or drinking water that can be consumed daily over a lifetime without presenting an appreciable risk to health. It is usually expressed as milligrams of the substance per kilogram of body weight and applies to chemical substances such as food additives, pesticide residues and veterinary Xenoboitics"	Substance in food or drinking water that consumed daily over a lifetime without presenting appreciable risk to health	https://www.efsa.europa.eu/en/glossary/adi		0000-0001-8345-1349	0000-0002-9795-5967		Class	Output parameters				
pbpko:PBPKO_00293	Human biomonitoring				HBM	An instrument for measuring the internal dose of exogenous substances/chemicals that enter a body during a certain period of exposure from a range of sources	Measuring instrument for internal dose of exogenous substances/chemicals that enter a body during a certain exposure period from different sources	World Health Organization. Regional Office for Europe. (?2023)?. Human biomonitoring. Basics: educational course. World Health Organization. Regional Office for Europe. https://apps.who.int/iris/handle/10665/368163. License: CC BY-NC-SA 3.0 IGO		0000-0001-8345-1349	0000-0002-9795-5967		Class	Output parameters				
pbpko:PBPKO_00294	Reverse dosimetry		dose reconstruction			An estimation of environmental exposures consistent with measured biological monitoring data	"Environmental exposures estimation, consistent with measured biological monitoring data"	"Ruiz, P., & Fowler, B. A. (2015). Exposure Assessment, Forward and Reverse Dosimetry. Handbook on the Toxicology of Metals, 141 153. doi:10.1016/b978-0-444-59453-2.00007-X"		0000-0001-8345-1349	0000-0002-9795-5967		Class	Output parameters				
pbpko:PBPKO_00295	Forward dosimetry					an estimation of internal exposures from measurements of external exposure in studies characterizing chemical toxicity	Estimation from external exposure mesurements in studies characterizing chemical toxicity	"Ruiz, P., & Fowler, B. A. (2015). Exposure Assessment, Forward and Reverse Dosimetry. Handbook on the Toxicology of Metals, 141 153. doi:10.1016/b978-0-444-59453-2.00007-X"		0000-0001-8345-1349	0000-0002-9795-5967		Class	Output parameters				
pbpko:PBPKO_00296	Spot urine					"single, untimed urine specimen, voided spontaneously by the patient. The sample is analyzed to determine its protein, creatinine, or electrolyte content. This type of specimen differs from a timed urinary specimen, which represents all the urine a patient produces over a 12- or 24-hr period."	"Single, untimed urine specimen, voided spontaneously by patient and is used to determine its protein, creatinine, or electrolyte content"	https://medical-dictionary.thefreedictionary.com/collection%2C+spot+urine		0000-0001-8345-1349	0000-0002-9795-5967		Class	Output parameters				
pbpko:PBPKO_00297	Specific gravity		Relative Density			"The ratio of the density of a material to the density of some standard material, such as water or air, at a specified temperature."	Ratio of material density to some standard material density like water or air at specified temperature	http://purl.bioontology.org/ontology/MESH/D013046		0000-0001-8345-1349	0000-0002-9795-5967		Class	Output parameters				
pbpko:PBPKO_00298	Reference human									0000-0001-8345-1349	0000-0002-9795-5967		Class	Physiological Parameters				
pbpko:PBPKO_00299	Biological matrix concentration					"A biological matrix is a biological material, such as blood, urine, or tissue, that is used for analysis in scientific research and medical testing"	"A biological matrix is a biological material, such as blood, urine, or tissue, that is used for analysis in scientific research and medical testing"			0000-0001-8345-1349	0000-0002-9795-5967		Class	Physicochemical Parameters				
pbpko:PBPKO_00300	Concentration in hair		trichotillomania			"filament-like structure composed of keratin, consisting of a shaft which projects to the surface of the skin from a root which is softer than the shaft and lodges in the cavity of a hair follicle."	"Keratin composed filament-like structure, consisting of shaft, projecting to skin surface from root which is softer than shaft and lodges in hair follicle cavity"	http://purl.bioontology.org/ontology/CSP/2716-0900		0000-0001-8345-1349	0000-0002-9795-5967		Class	Biological matrix concentration				
pbpko:PBPKO_00301	Concentration in nail		"Nail Apparatus, nail/claw"			"A horn-like keratin structure covering the dorsal aspect of the terminal phalanges of fingers and toes.
The cutaneous plate on the dorsal surface of the distal end of a finger or toe."	Cutaneous plate on dorsal surface of distal end of finger or toe	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C33156		0000-0001-8345-1349	0000-0002-9795-5967		Class	Biological matrix concentration				
pbpko:PBPKO_00302	Concentration in teeth		Tooth			One of a set of bone-like structures in the mouth used for biting and chewing	Set of bone-like structures in mouth used for biting and chewing	http://purl.bioontology.org/ontology/MESH/D014070		0000-0001-8345-1349	0000-0002-9795-5967		Class	Biological matrix concentration				
pbpko:PBPKO_00303	Concentration in blood					"A liquid tissue; its major function is to transport oxygen throughout the body. It also supplies the tissues with nutrients, removes waste products, and contains various components of the immune system defending the body against infection. Several hormones also travel in the blood."	"Liquid tissue which transport oxygen, nutrients, removes waste products, and contains various components of immune system defending body against infection"	http://purl.obolibrary.org/obo/NCIT_C12434		0000-0001-8345-1349	0000-0002-9795-5967		Class	Biological matrix concentration				
pbpko:PBPKO_00304	Concentration in urine					"The fluid produced by the kidneys.
Fluid containing water and waste products. Urine is made by the kidneys, stored in the bladder, and leaves the body through the urethra."	"Fluid, excreted by the kidneys and is stored in bladder and discharged through urethra"	http://purl.obolibrary.org/obo/NCIT_C13283		0000-0001-8345-1349	0000-0002-9795-5967		Class	Biological matrix concentration				
pbpko:PBPKO_00305	Permeability limited PBPK					"permeability-limited PBPK models consider the permeability of the substance into and out of capillaries, cell membranes, and intracellular lipids. the rate of diffusion across tissue membrane is the limiting factor"	"permeability-limited PBPK models consider the permeability of the substance into and out of capillaries, cell membranes, and intracellular lipids. the rate of diffusion across tissue membrane is the limiting factor"	10.1021/acs.est.7b02602		0000-0001-8345-1349	0000-0002-9795-5967		Class	Physiologically Based Pharmacokinetic Modeling				
pbpko:PBPKO_00306	Vmax_baso_in vitro 					Vmax of basolateral transporter	Vmax of basolateral transporter			0000-0001-8345-1349	0000-0002-9795-5967		Class	Biochemical Parameters				
pbpko:PBPKO_00307	km_baso					km of basolateral transporter	km of basolateral transporter			0000-0001-8345-1349	0000-0002-9795-5967		Class	Biochemical Parameters				
pbpko:PBPKO_00308	Vmax_apical_invitro					Vmax of apical transporter	Vmax of apical transporter	10.1016/j.envint.2019.03.058		0000-0001-8345-1349	0000-0002-9795-5967		Class	Biochemical Parameters				
pbpko:PBPKO_00309	km_apical					km of apical transporter	km of apical transporter	10.1016/j.envint.2019.03.058		0000-0001-8345-1349	0000-0002-9795-5967		Class	Biochemical Parameters				
pbpko:PBPKO_00310	RAFapi					Apical transporter	Apical transporter	10.1016/j.envint.2019.03.058		0000-0001-8345-1349	0000-0002-9795-5967		Class	Biochemical Parameters				
pbpko:PBPKO_00311	RAFbaso					Basolateral transporters	Basolateral transporters	10.1016/j.envint.2019.03.058		0000-0001-8345-1349	0000-0002-9795-5967		Class	Biochemical Parameters				
pbpko:PBPKO_00312	Kiff					"describe the influx pathway of a chemical, which is the process by which a chemical moves from the extracellular fluid or plasma into a cell"	"describe the influx pathway of a chemical, which is the process by which a chemical moves from the extracellular fluid or plasma into a cell"	10.1016/j.envint.2019.03.058		0000-0001-8345-1349	0000-0002-9795-5967		Class	Biochemical Parameters				
pbpko:PBPKO_00313	KeffluxC					"describe the efflux pathway of a chemical, which is the process by which a chemical moves from inside a cell to the extracellular fluid or plasma"	"describe the efflux pathway of a chemical, which is the process by which a chemical moves from inside a cell to the extracellular fluid or plasma"	10.1016/j.envint.2019.03.058		0000-0001-8345-1349	0000-0002-9795-5967		Class	Biochemical Parameters				
pbpko:PBPKO_00314	Plasma Space									0000-0001-8345-1349	0000-0002-9795-5967		Class	Miscellaneous Parameters				
pbpko:PBPKO_00315	Endosomal Space					"endosomal space is a compartment within the endosomal-lysosomal system, which is a set of intracellular membranous compartments that dynamically interconvert"	"endosomal space is a compartment within the endosomal-lysosomal system, which is a set of intracellular membranous compartments that dynamically interconvert"	10.1186/s40035-015-0041-1		0000-0001-8345-1349	0000-0002-9795-5967		Class	Miscellaneous Parameters				
pbpko:PBPKO_00316	Interstitial Space					"the fluid-filled space that lies between blood vessels and cells, providing the fluid and structural environment surrounding those cells"	"the fluid-filled space that lies between blood vessels and cells, providing the fluid and structural environment surrounding those cells"	10.3389/fvets.2020.609583		0000-0001-8345-1349	0000-0002-9795-5967		Class	Miscellaneous Parameters				
